ID_observacion;ID_anuncio;ID_conjunto_anuncios;ID_campania;Fecha_publicacion_anuncio;Fecha_captura_informacion;Gasto;Moneda;Country;Visitas_al_50;Visitas_al_75;Visitas_al100;Fuente;Brand;Objetivo_campania;Formato;Nombre_campania;Impresiones
ID_V_000001;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Tue, 24 Dec 2019 00:00:00 GMT;7.351579;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;2441
ID_V_000002;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Thu, 12 Dec 2019 00:00:00 GMT;0.814209;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;346
ID_V_000003;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Sat, 14 Dec 2019 00:00:00 GMT;1.356041;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;604
ID_V_000004;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Tue, 17 Dec 2019 00:00:00 GMT;6.137025;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;1973
ID_V_000005;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Wed, 18 Dec 2019 00:00:00 GMT;7.101953;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;2334
ID_V_000006;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Thu, 19 Dec 2019 00:00:00 GMT;8.577255;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;2784
ID_V_000007;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Fri, 20 Dec 2019 00:00:00 GMT;3.676581;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;1452
ID_V_000008;1204157904158430000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Sat, 21 Dec 2019 00:00:00 GMT;3.414593;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;1159
ID_V_000009;1204157564759480000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Tue, 24 Dec 2019 00:00:00 GMT;67.868421;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;24955
ID_V_000010;1204157564759480000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Wed, 18 Dec 2019 00:00:00 GMT;105.898047;USD;PE;4;4;4;Twitter;CUSQUENA;Engagement;Imagen;AON;33019
ID_V_000011;1204157564759480000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Thu, 19 Dec 2019 00:00:00 GMT;66.642745;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;24413
ID_V_000012;1204157564759480000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Mon, 16 Dec 2019 00:00:00 GMT;70.619789;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;26722
ID_V_000013;1204157564759480000;i27650949;i22548164;Wed, 11 Dec 2019 00:00:00 GMT;Tue, 17 Dec 2019 00:00:00 GMT;65.862975;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;25124
ID_V_000014;1204155119073400000;i27650634;i22547908;Wed, 11 Dec 2019 00:00:00 GMT;Thu, 19 Dec 2019 00:00:00 GMT;74.81;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;27108
ID_V_000015;1204155119073400000;i27650634;i22547908;Wed, 11 Dec 2019 00:00:00 GMT;Fri, 20 Dec 2019 00:00:00 GMT;74.81;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;25692
ID_V_000016;1204154636741100000;i27650424;i22547738;Wed, 11 Dec 2019 00:00:00 GMT;Fri, 13 Dec 2019 00:00:00 GMT;81.13;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;32392
ID_V_000017;1204154636741100000;i27650424;i22547738;Wed, 11 Dec 2019 00:00:00 GMT;Sat, 14 Dec 2019 00:00:00 GMT;72.25;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;25708
ID_V_000018;1204154636741100000;i27650424;i22547738;Wed, 11 Dec 2019 00:00:00 GMT;Fri, 20 Dec 2019 00:00:00 GMT;74.65;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;27693
ID_V_000019;1204154636741100000;i27650424;i22547738;Wed, 11 Dec 2019 00:00:00 GMT;Wed, 11 Dec 2019 00:00:00 GMT;60.29;USD;PE;0;0;0;Twitter;CUSQUENA;Engagement;Imagen;AON;22899
